GeneName,Trait,GeneSymbol
Zm00001d000472,101: IKAW,-
Zm00001d000504,10: RGBVI; 115: IKAW; 19: IKAW; 37: GreenCoverage; 65: CIVE/COM/GreenCoverage,-
Zm00001d000524,10: COM/CIVE/gn/ExG/ints/GLI; 101: IKAW; 108: ExR/RGB_R/ints; 115: RGB_R/veg; 12: RGB_R; 14: GreenCoverage; 15: NDI/GRVI/ExR/ExGR/MGRVI/veg/GreenCoverage; 17: RGB_R; 19: IKAW; 24: rn/MGRVI/NDI/GRVI/ExGR/GLI2/ExR; 37: GreenCoverage; 44: ExG/ExR/veg/ExGR/gn; 51: IKAW; 65: veg/ExR/MGRVI/GLI2/RGB_R/NDI/ExGR/GRVI; 73: rn/IKAW; 80: ints; 88: rn,-
Zm00001d000542,17: RGB_R; 88: ints/RGB_R,-
Zm00001d000565,108: GreenCoverage; 115: ExR/NDI/GRVI/MGRVI; 12: RGBVI; 24: GreenCoverage; 94: RGBVI,-
Zm00001d000572,37: GRVI/MGRVI/ExGR/rn/veg/NDI/GLI2/ExR; 51: ExGR/veg/GLI/NDI/gn/MGRVI/ExG/ExR/RGBVI/GRVI,-
Zm00001d000651,115: IKAW,-
Zm00001d000654,101: RGBVI,-
Zm00001d000657,44: RGBVI/ExG/ExR/veg/ExGR/gn/GLI,-
Zm00001d000714,37: ints; 44: ints/RGB_R; 51: ints/RGB_R,-
Zm00001d000716,108: RGB_R,-
Zm00001d000732,65: veg/RGBVI/ExG/GLI/gn; 73: ExG/GLI/gn/RGBVI/veg,-
Zm00001d000763,108: CIVE/COM/GreenCoverage; 115: CIVE/GreenCoverage/ExG/GLI/COM/RGBVI/gn/veg,-
Zm00001d000779,65: RGB_R/ints; 94: ints,-
Zm00001d000787,51: GLI2,-
Zm00001d000806,65: rn,-
Zm00001d000870,101: CIVE/COM; 65: RGB_R/ints,-
Zm00001d000875,108: RGB_R/ints,-
Zm00001d000914,44: MGRVI/GLI2,-
Zm00001d000915,44: MGRVI/GLI2,-
Zm00001d001010,10: ints/RGB_R; 108: IKAW; 14: ints; 15: CIVE/gn/GLI/veg/COM/ExG; 17: IKAW/ExR/GLI2/rn; 37: CIVE/COM; 44: CIVE/RGBVI/ExG/NDI/rn/ExR/veg/MGRVI/GLI2/GRVI/COM/ExGR/RGB_R/gn/GLI; 51: IKAW; 65: GreenCoverage; 73: NDI/rn/GRVI/MGRVI/ExGR/ExR/GLI2; 94: rn/ExR/GLI2,-
Zm00001d001042,65: veg/RGBVI/ExG/ExGR/GLI/gn; 73: ExG/GLI/gn/veg,-
Zm00001d001055,10: IKAW/GLI2/ExR/rn; 14: IKAW; 15: CIVE/COM,-
Zm00001d001056,10: IKAW/GLI2/ExR/rn; 14: IKAW; 15: CIVE/COM,-
Zm00001d001057,51: veg,-
Zm00001d001061,24: IKAW,-
